Hydration	C3S	C2S	C3A	C4AF	MK	CSHQ	Portlandite	Gypsum	Calcite	AFt	AFm	MC	HC	Stratlingite	C3AH6	Hydrotalcite	Fe-siliceous hy	aq_gen
0.97358962	13.117858	3.4712355	1.9298176	3.2671928	9.5605707	43.082772	2.5201373	0	4.5722537	15.927702	0	20.631559	0	0	0	1.0078094e-007	6.7570158	23.791885
1.0149403	12.765027	3.4353919	1.8642867	3.2200407	9.2543431	43.976001	2.0622297	0	4.4200948	15.928147	0	21.495177	0	0	0	1.0089924e-007	6.8559757	23.353285
1.0565237	12.442779	3.3986656	1.8054976	3.1778086	8.948386	44.845574	1.5909485	0	4.2707739	15.928576	0	22.342696	0	0	0	1.0101414e-007	6.9471671	22.931127
1.0979511	12.151791	3.3614805	1.7545863	3.139676	8.646916	45.682088	1.114583	0	4.1264057	15.928983	0	23.162112	0	0	0	1.0112449e-007	7.0315453	22.529833
1.1392492	11.889225	3.3239065	1.7097897	3.1049818	8.3509864	46.485628	0.63659381	0	3.9867371	15.929373	0	23.954858	0	0	0	1.0123079e-007	7.1100631	22.147857
1.1806992	11.651065	3.285781	1.669857	3.0732095	8.0597937	47.261136	0.15720234	0	3.8509516	15.929744	0	24.725573	0	0	0	1.0133384e-007	7.1835981	21.782089
1.2219356	11.437228	3.2475379	1.6338702	3.043947	7.7769921	47.643372	0	0	3.7400332	15.93118	0	25.353372	0	0	0	1.0190339e-007	7.3323204	21.490147
1.2633993	11.24342	3.208869	1.6011366	3.0168598	7.5005556	47.825605	0	0	3.6406245	15.933079	0	25.91506	0	0	0	1.0264271e-007	7.507684	21.237106
1.3049212	11.068746	3.1700338	1.5711211	2.9916723	7.2325696	47.987749	0	0	3.5428868	15.93488	0	26.4674	0	0	0	1.0330971e-007	7.6677959	20.995145
1.3461573	10.912735	3.1314588	1.5434027	2.9681549	6.9759159	48.131014	0	0	3.4477094	15.936573	0	27.005356	0	0	0	1.0390635e-007	7.8122744	20.765405
1.3875678	10.771943	3.092818	1.5176441	2.946114	6.7282958	48.259437	0	0	3.3544082	15.938176	0	27.532787	0	0	0	1.0444534e-007	7.9431869	20.54519
1.4289443	10.645654	3.0544095	1.4935714	2.9253846	6.4914748	48.374177	0	0	3.2636998	15.939678	0	28.045636	0	0	0	1.0492889e-007	8.0610461	20.335268
1.469822	10.533652	3.01676	1.4709593	2.9058255	6.2682402	48.475759	0	0	3.1767459	15.941072	0	28.537322	0	0	0	1.0535729e-007	8.1662726	20.137391
